"","db.Estado","db.SalePrice","db.GrLivArea","db.GarageCars","db.YearBuilt","db.GarageArea","db.X1stFlrSF"
"1","Cara",208500,1710,2,2003,548,856
"2","Cara",181500,1262,2,1976,460,1262
"3","Cara",223500,1786,2,2001,608,920
"4","Intermedia",140000,1717,3,1915,642,961
"5","Cara",250000,2198,3,2000,836,1145
"6","Intermedia",143000,1362,2,1993,480,796
"7","Cara",307000,1694,2,2004,636,1694
"8","Cara",2e+05,2090,2,1973,484,1107
"9","Economica",129900,1774,2,1931,468,1022
"10","Economica",118000,1077,1,1939,205,1077
"11","Economica",129500,1040,1,1965,384,1040
"12","Cara",345000,2324,3,2005,736,1182
"13","Intermedia",144000,912,1,1962,352,912
"14","Cara",279500,1494,3,2006,840,1494
"15","Intermedia",157000,1253,1,1960,352,1253
"16","Intermedia",132000,854,2,1929,576,854
"17","Intermedia",149000,1004,2,1970,480,1004
"18","Economica",90000,1296,2,1967,516,1296
"19","Intermedia",159000,1114,2,2004,576,1114
"20","Intermedia",139000,1339,1,1958,294,1339
"21","Cara",325300,2376,3,2005,853,1158
"22","Intermedia",139400,1108,1,1930,280,1108
"23","Cara",230000,1795,2,2002,534,1795
"24","Economica",129900,1060,2,1976,572,1060
"25","Intermedia",154000,1060,1,1968,270,1060
"26","Cara",256300,1600,3,2007,890,1600
"27","Intermedia",134800,900,2,1951,576,900
"28","Cara",306000,1704,3,2007,772,1704
"29","Cara",207500,1600,1,1957,319,1600
"30","Economica",68500,520,1,1927,240,520
"31","Economica",40000,1317,1,1920,250,649
"32","Intermedia",149350,1228,1,1966,271,1228
"33","Cara",179900,1234,2,2007,484,1234
"34","Cara",165500,1700,2,1959,447,1700
"35","Cara",277500,1561,2,2005,556,1561
"36","Cara",309000,2452,3,2004,691,1132
"37","Intermedia",145000,1097,2,1994,672,1097
"38","Intermedia",153000,1297,2,1954,498,1297
"39","Economica",109000,1057,1,1953,246,1057
"40","Economica",82000,1152,0,1955,0,1152
"41","Intermedia",160000,1324,2,1965,440,1324
"42","Cara",170000,1328,1,1959,308,1328
"43","Intermedia",144000,884,2,1983,504,884
"44","Intermedia",130250,938,1,1975,308,938
"45","Intermedia",141000,1150,1,1959,300,1150
"46","Cara",319900,1752,2,2005,576,1752
"47","Cara",239686,2149,2,2003,670,1518
"48","Cara",249700,1656,3,2006,826,1656
"49","Economica",113000,1452,0,1920,0,736
"50","Economica",127000,955,1,1966,386,955
"51","Cara",177000,1470,2,1997,388,794
"52","Economica",114500,1176,2,1934,528,816
"53","Economica",110000,816,2,1963,516,816
"54","Cara",385000,1842,3,1981,894,1842
"55","Intermedia",130000,1360,2,1955,572,1360
"56","Cara",180500,1425,2,1964,576,1425
"57","Cara",172500,1739,2,1999,480,983
"58","Cara",196500,1720,2,2004,565,860
"59","Cara",438780,2945,3,2006,641,1426
"60","Economica",124900,780,1,1972,352,780
"61","Intermedia",158000,1158,2,2004,576,1158
"62","Economica",101000,1111,1,1920,288,581
"63","Cara",202500,1370,2,2006,484,1370
"64","Intermedia",140000,1710,2,1921,480,902
"65","Cara",219500,2034,2,1997,645,1057
"66","Cara",317000,2473,3,2004,852,1143
"67","Cara",180000,2207,2,1970,576,2207
"68","Cara",226000,1479,2,2003,558,1479
"69","Economica",80000,747,1,1945,220,747
"70","Cara",225000,2287,2,1953,667,1304
"71","Cara",244000,2223,2,1973,516,2223
"72","Economica",129500,845,2,1982,360,845
"73","Cara",185000,1718,2,1998,427,885
"74","Intermedia",144900,1086,2,1954,490,1086
"75","Economica",107400,1605,1,1915,379,840
"76","Economica",91000,988,1,1973,297,526
"77","Intermedia",135750,952,1,1956,283,952
"78","Economica",127000,1285,1,1948,240,1072
"79","Intermedia",136500,1768,0,1968,0,1768
"80","Economica",110000,1230,2,1910,440,682
"81","Cara",193500,2142,1,1968,509,1182
"82","Intermedia",153500,1337,2,1998,405,1337
"83","Cara",245000,1563,3,2007,758,1563
"84","Economica",126500,1065,2,1960,461,1065
"85","Cara",168500,1474,2,1995,400,804
"86","Cara",260000,2417,2,1991,462,1301
"87","Cara",174000,1560,2,2005,400,684
"88","Cara",164500,1224,2,2009,528,612
"89","Economica",85000,1526,0,1915,0,1013
"90","Economica",123600,990,0,1994,0,990
"91","Economica",109900,1040,2,1950,420,1040
"92","Economica",98600,1235,2,1961,480,1235
"93","Cara",163500,964,2,1921,432,964
"94","Intermedia",133900,2291,2,1910,506,1260
"95","Cara",204750,1786,2,1997,684,905
"96","Cara",185000,1470,2,1993,420,680
"97","Cara",214000,1588,2,1999,472,1588
"98","Economica",94750,960,1,1965,432,960
"99","Economica",83000,835,1,1920,366,835
"100","Economica",128950,1225,0,1959,0,1225
"101","Cara",205000,1610,2,1977,480,1610
"102","Cara",178000,1732,2,1985,476,977
"103","Economica",118964,1535,2,1979,410,1535
"104","Cara",198900,1226,3,2009,740,1226
"105","Cara",169500,1818,1,1931,240,1226
"106","Cara",250000,1992,2,2003,648,1053
"107","Economica",1e+05,1047,1,1885,273,1047
"108","Economica",115000,789,1,1948,250,789
"109","Economica",115000,1517,0,1919,0,997
"110","Cara",190000,1844,2,1977,546,1844
"111","Intermedia",136900,1855,1,1954,325,1216
"112","Cara",180000,1430,2,2000,400,774
"113","Cara",383970,2696,3,2007,792,1282
"114","Cara",217000,2259,2,1953,450,2259
"115","Cara",259500,2320,1,1945,180,1436
"116","Cara",176000,1458,2,1999,440,729
"117","Intermedia",139000,1092,1,1962,288,1092
"118","Intermedia",155000,1125,2,2006,430,1125
"119","Cara",320000,3222,3,1990,594,1699
"120","Cara",163990,1456,2,2005,390,728
"121","Cara",180000,988,2,1969,540,988
"122","Economica",1e+05,1123,1,1939,264,772
"123","Intermedia",136000,1080,1,1958,288,1080
"124","Intermedia",153900,1199,2,1993,530,1199
"125","Cara",181000,1586,2,1979,435,1586
"126","Economica",84500,754,0,1935,0,520
"127","Economica",128000,958,2,1976,440,958
"128","Economica",87000,840,0,1930,0,840
"129","Intermedia",155000,1348,2,1966,453,660
"130","Intermedia",150000,1053,2,1958,750,1053
"131","Cara",226000,2157,2,1966,487,1216
"132","Cara",244000,2054,2,2000,390,1022
"133","Intermedia",150750,1327,2,1959,624,1327
"134","Cara",220000,1296,2,2001,471,1296
"135","Cara",180000,1721,2,1968,440,1721
"136","Cara",174000,1682,2,1970,530,1682
"137","Intermedia",143000,1214,1,1967,318,1214
"138","Cara",171000,1959,3,1988,766,1959
"139","Cara",230000,1852,3,1999,660,1004
"140","Cara",231500,1764,2,1997,470,928
"141","Economica",115000,864,0,1971,0,864
"142","Cara",260000,1734,2,2005,660,1734
"143","Cara",166000,1385,2,1952,720,910
"144","Cara",204000,1501,2,1999,577,1501
"145","Economica",125000,1728,2,1963,504,1728
"146","Intermedia",130000,1709,2,2004,380,970
"147","Economica",105000,875,1,1931,180,875
"148","Cara",222500,2035,2,2001,434,884
"149","Intermedia",141000,1080,0,2004,0,1080
"150","Economica",115000,1344,1,1936,240,896
"151","Economica",122000,969,2,1975,440,969
"152","Cara",372402,1710,3,2007,866,1710
"153","Cara",190000,1993,2,1971,495,1097
"154","Cara",235000,1252,2,1960,564,1252
"155","Economica",125000,1200,1,1923,312,1200
"156","Economica",79000,1096,0,1924,0,572
"157","Economica",109500,1040,2,1950,625,1040
"158","Cara",269500,1968,3,2009,680,774
"159","Cara",254900,1947,2,2004,678,991
"160","Cara",320000,2462,2,2005,576,1392
"161","Intermedia",162500,1232,2,1984,516,1232
"162","Cara",412500,2668,3,2003,726,1572
"163","Cara",220000,1541,2,2005,532,1541
"164","Economica",103200,882,0,1956,0,882
"165","Intermedia",152000,1616,1,1926,216,1149
"166","Economica",127500,1355,0,1940,0,808
"167","Cara",190000,1867,1,1955,303,1867
"168","Cara",325624,2161,3,2007,789,1610
"169","Cara",183500,1720,2,2004,440,840
"170","Cara",228000,1707,2,1981,511,1707
"171","Economica",128500,1382,2,1941,660,854
"172","Cara",215000,1656,2,1960,528,1656
"173","Cara",239000,1767,2,1987,504,1064
"174","Intermedia",163000,1362,2,1961,504,1362
"175","Cara",184000,1651,2,1986,616,1651
"176","Cara",243000,2158,2,1950,576,2158
"177","Cara",211000,2060,2,1988,521,1164
"178","Cara",172500,1920,2,1958,451,1252
"179","Cara",501837,2234,3,2008,1166,2234
"180","Economica",1e+05,968,2,1923,480,968
"181","Cara",177000,1525,2,2000,440,769
"182","Cara",200100,1802,1,1920,216,901
"183","Economica",120000,1340,1,1957,252,1340
"184","Cara",2e+05,2082,2,2003,484,1362
"185","Economica",127000,1252,2,1908,576,936
"186","Cara",475000,3608,3,1892,840,1518
"187","Cara",173000,1217,2,1990,497,1217
"188","Intermedia",135000,1656,1,1916,180,808
"189","Intermedia",153337,1224,2,1979,528,1224
"190","Cara",286000,1593,2,2001,682,1593
"191","Cara",315000,2727,2,1932,440,1549
"192","Cara",184000,1479,2,1972,484,725
"193","Cara",192000,1431,2,1999,666,1431
"194","Intermedia",130000,1709,2,2004,380,970
"195","Economica",127000,864,1,1972,352,864
"196","Intermedia",148500,1456,2,1976,440,855
"197","Cara",311872,1726,3,2007,786,1726
"198","Cara",235000,3112,2,1918,795,1360
"199","Economica",104000,2229,0,1912,0,929
"200","Cara",274900,1713,3,2004,856,1713
"201","Intermedia",140000,1121,2,2003,440,1121
"202","Cara",171500,1279,2,1977,473,1279
"203","Economica",112000,1310,1,1924,398,865
"204","Intermedia",149000,848,2,2004,420,848
"205","Economica",110000,1284,1,1947,240,720
"206","Cara",180500,1442,2,1990,500,1442
"207","Intermedia",143900,1696,1,1962,349,1696
"208","Intermedia",141000,1100,1,1960,312,1100
"209","Cara",277000,2062,2,1988,454,1180
"210","Intermedia",145000,1092,2,1964,504,1092
"211","Economica",98000,864,0,1925,0,864
"212","Cara",186000,1212,2,2009,460,1212
"213","Cara",252678,1852,2,2009,644,932
"214","Intermedia",156000,990,2,1995,576,990
"215","Intermedia",161750,1392,1,1977,299,689
"216","Intermedia",134450,1236,1,1957,447,1236
"217","Cara",210000,1436,2,2004,484,1436
"218","Economica",107000,1328,1,1925,210,810
"219","Cara",311500,1954,2,1939,431,1137
"220","Cara",167240,1248,2,2005,438,1248
"221","Cara",204900,1498,2,2006,675,1498
"222","Cara",2e+05,2267,2,2002,390,1010
"223","Cara",179900,1552,2,1975,434,811
"224","Economica",97000,864,2,1971,576,864
"225","Cara",386250,2392,3,2003,968,2392
"226","Economica",112000,1302,1,1971,280,630
"227","Cara",290000,2520,3,1995,721,1214
"228","Economica",106000,987,1,1970,280,483
"229","Economica",125000,912,1,1967,336,912
"230","Cara",192500,1555,2,2005,430,1555
"231","Intermedia",148000,1194,1,1959,312,1194
"232","Cara",403000,2794,3,1995,810,1490
"233","Economica",94500,987,1,1972,288,483
"234","Economica",128200,894,1,1976,308,894
"235","Cara",216500,1960,2,2002,440,860
"236","Economica",89500,987,1,1971,264,483
"237","Cara",185500,1414,2,2004,494,1414
"238","Cara",194500,1744,2,1993,457,1014
"239","Cara",318000,1694,3,2007,818,1694
"240","Economica",113000,1487,1,1945,220,798
"241","Cara",262500,1566,2,2008,750,1566
"242","Economica",110500,866,0,1945,0,866
"243","Economica",79000,1440,1,1900,352,889
"244","Economica",120000,1217,1,1980,288,626
"245","Cara",205000,2110,2,1994,463,1222
"246","Cara",241500,1872,2,1988,604,1872
"247","Intermedia",137000,1928,1,1910,440,908
"248","Intermedia",140000,1375,2,1954,451,1375
"249","Cara",180000,1668,2,2003,500,840
"250","Cara",277000,2144,2,1958,389,1444
"251","Economica",76500,1306,0,1940,0,1306
"252","Cara",235000,1625,2,2006,538,1625
"253","Cara",173000,1640,2,2004,520,798
"254","Intermedia",158000,1302,1,1964,309,1302
"255","Intermedia",145000,1314,1,1957,294,1314
"256","Cara",230000,2291,2,1999,429,1005
"257","Cara",207500,1728,2,2003,673,864
"258","Cara",220000,1604,2,2006,660,1604
"259","Cara",231500,1792,2,2001,564,963
"260","Economica",97000,882,1,1956,308,882
"261","Cara",176000,1382,2,1962,884,1382
"262","Cara",276000,2574,3,2007,868,1482
"263","Intermedia",151000,1212,2,1977,492,1212
"264","Intermedia",130000,1316,2,1929,484,926
"265","Economica",73000,764,2,1925,504,764
"266","Cara",175500,1422,2,1981,576,1422
"267","Cara",185000,1511,2,1997,413,802
"268","Cara",179500,2192,1,1939,240,1052
"269","Economica",120500,778,1,1940,924,778
"270","Intermedia",148000,1113,1,1976,504,1113
"271","Cara",266000,1939,3,2006,1053,1095
"272","Cara",241500,1363,2,1954,439,1363
"273","Cara",290000,2270,3,1999,671,1164
"274","Intermedia",139000,1632,1,1958,338,1632
"275","Economica",124500,816,1,1982,264,816
"276","Cara",205000,1548,2,1925,672,952
"277","Cara",201000,1560,2,2003,573,1560
"278","Intermedia",141000,864,2,1951,400,864
"279","Cara",415298,2121,3,2006,732,2121
"280","Cara",192000,2022,2,1977,505,1156
"281","Cara",228500,1982,2,1989,575,1175
"282","Cara",185000,1262,2,2006,572,1262
"283","Cara",207500,1314,2,2007,626,1314
"284","Cara",244600,1468,3,2008,898,1468
"285","Cara",179200,1575,2,1992,529,1575
"286","Cara",164700,1250,2,2006,528,625
"287","Intermedia",159000,1734,2,1962,440,1085
"288","Economica",88000,858,0,1971,0,858
"289","Economica",122000,900,1,1967,280,900
"290","Intermedia",153575,1396,1,1915,384,698
"291","Cara",233230,1919,2,2006,685,1079
"292","Intermedia",135900,1716,0,1912,0,936
"293","Intermedia",131000,1716,1,1949,281,1148
"294","Cara",235000,2263,2,1977,539,1468
"295","Cara",167000,1644,2,1953,418,1644
"296","Intermedia",142500,1003,2,1984,588,1003
"297","Intermedia",152000,1558,1,1950,282,910
"298","Cara",239000,1950,2,1997,576,975
"299","Cara",175000,1743,2,1968,539,1041
"300","Intermedia",158500,1152,1,1950,300,1152
"301","Intermedia",157000,1336,1,1953,375,1336
"302","Cara",267000,2452,2,1998,683,1210
"303","Cara",205000,1541,3,2001,843,1541
"304","Intermedia",149900,894,2,1972,552,894
"305","Cara",295000,3493,3,1880,870,1675
"306","Cara",305900,2000,3,2004,888,2000
"307","Cara",225000,2243,3,1990,746,1122
"308","Economica",89500,1406,0,1920,0,1035
"309","Economica",82500,861,2,1940,539,861
"310","Cara",360000,1944,3,2003,708,1944
"311","Cara",165600,1501,2,1993,420,697
"312","Intermedia",132000,972,1,1948,240,972
"313","Economica",119900,1118,2,1939,410,793
"314","Cara",375000,2036,2,1965,513,2036
"315","Cara",178000,1641,2,1925,546,832
"316","Cara",188500,1432,2,2004,432,716
"317","Cara",260000,2353,2,1980,484,1153
"318","Cara",270000,1959,3,2006,1025,1088
"319","Cara",260000,2646,3,1993,656,1372
"320","Cara",187500,1472,2,1980,588,1472
"321","Cara",342643,2596,3,2006,840,1249
"322","Cara",354000,2468,3,2004,872,1136
"323","Cara",301000,2730,2,1986,576,1553
"324","Economica",126175,1163,1,1955,220,1163
"325","Cara",242000,2978,2,1967,564,1898
"326","Economica",87000,803,2,1941,360,803
"327","Cara",324000,1719,2,1993,473,1719
"328","Intermedia",145250,1383,1,1960,292,1383
"329","Cara",214500,2134,2,1916,441,1445
"330","Economica",78000,1192,1,1920,189,596
"331","Economica",119000,1728,1,1964,352,1728
"332","Intermedia",139000,1056,1,1958,308,1056
"333","Cara",284000,1629,3,2003,880,1629
"334","Cara",207000,1358,2,2004,484,1358
"335","Cara",192000,1638,2,1998,472,943
"336","Cara",228950,1786,2,1965,529,1619
"337","Cara",377426,1922,3,2005,676,1922
"338","Cara",214000,1536,2,2002,532,1536
"339","Cara",202500,1621,2,1984,440,1621
"340","Intermedia",155000,1215,1,1958,297,1215
"341","Cara",202900,1908,2,2002,431,993
"342","Economica",82000,841,1,1950,294,841
"343","Economica",87500,1040,2,1949,400,1040
"344","Cara",266000,1684,2,2005,564,1684
"345","Economica",85000,1112,1,1976,336,536
"346","Intermedia",140200,1577,1,1939,312,972
"347","Intermedia",151500,958,1,1960,301,958
"348","Intermedia",157500,1478,2,1960,498,1478
"349","Intermedia",154000,1626,2,2003,474,764
"350","Cara",437154,2728,3,2005,706,1848
"351","Cara",318061,1869,2,2007,617,1869
"352","Cara",190000,1453,2,1986,445,1453
"353","Economica",95000,1111,1,1941,200,616
"354","Economica",105900,720,2,1928,484,720
"355","Intermedia",140000,1595,1,1940,240,1192
"356","Cara",177500,1200,2,1995,521,1200
"357","Cara",173000,1167,2,1992,400,1167
"358","Intermedia",134000,1142,2,1976,528,1142
"359","Intermedia",130000,1352,1,1958,288,1352
"360","Cara",280000,1924,2,1998,592,1086
"361","Intermedia",156000,912,2,1978,470,912
"362","Intermedia",145000,1505,1,1940,240,988
"363","Cara",198500,1922,2,2003,672,495
"364","Economica",118000,987,1,1972,264,483
"365","Cara",190000,1574,2,1976,566,790
"366","Intermedia",147000,1344,1,1920,468,672
"367","Intermedia",159000,1394,2,1963,514,1394
"368","Cara",165000,1431,1,1962,296,1431
"369","Intermedia",132000,1268,1,1954,244,1268
"370","Intermedia",162000,1287,2,1959,576,1287
"371","Cara",172400,1664,2,2000,460,953
"372","Intermedia",134432,1588,2,1959,680,1120
"373","Economica",125000,752,1,1984,264,752
"374","Economica",123000,1319,1,1953,270,1319
"375","Cara",219500,1928,2,2003,434,847
"376","Economica",61000,904,0,1922,0,904
"377","Intermedia",148000,914,2,1996,576,914
"378","Cara",340000,2466,2,2004,610,1580
"379","Cara",394432,1856,3,2010,834,1856
"380","Cara",179000,1800,2,2000,463,1007
"381","Economica",127000,1691,1,1924,308,1026
"382","Cara",187750,1301,2,2006,572,1301
"383","Cara",213500,1797,2,2006,639,939
"384","Economica",76000,784,2,1928,360,784
"385","Cara",240000,1953,2,1992,501,1079
"386","Cara",192000,1269,2,2004,430,1269
"387","Economica",81000,1184,0,1910,0,658
"388","Economica",125000,1125,1,1976,352,1125
"389","Cara",191000,1479,2,1999,577,1479
"390","Cara",426000,2332,3,2007,846,1742
"391","Economica",119000,1367,1,1900,384,961
"392","Cara",215000,1961,2,2001,560,804
"393","Economica",106500,882,1,1959,294,882
"394","Economica",1e+05,788,0,1941,0,788
"395","Economica",109000,1034,1,1940,240,735
"396","Economica",129000,1144,1,1956,596,1144
"397","Economica",123000,894,2,1972,600,894
"398","Cara",169500,1812,1,1962,264,876
"399","Economica",67000,1077,1,1920,338,1077
"400","Cara",241000,1550,2,2006,438,1112
"401","Cara",245500,1288,2,1996,500,1288
"402","Cara",164990,1310,2,2005,400,1310
"403","Economica",108000,672,1,1940,240,672
"404","Cara",258000,2263,2,1998,420,1165
"405","Cara",168000,1572,2,1995,373,806
"406","Intermedia",150000,1620,2,1976,490,1620
"407","Economica",115000,1639,1,1936,240,1166
"408","Cara",177000,1680,1,1915,308,840
"409","Cara",280000,2172,3,2006,947,1071
"410","Cara",339750,2078,3,2007,836,1050
"411","Economica",60000,1276,1,1958,350,1276
"412","Intermedia",145000,1056,2,1955,572,1056
"413","Cara",222000,1478,2,2009,484,1478
"414","Economica",115000,1028,2,1927,360,1028
"415","Cara",228000,2097,3,1993,678,1080
"416","Cara",181134,1340,2,2007,396,1340
"417","Intermedia",149500,1400,2,1978,440,672
"418","Cara",239000,2624,3,1918,864,1370
"419","Economica",126000,1134,1,1940,240,756
"420","Intermedia",142000,1056,1,1968,304,1056
"421","Cara",206300,1344,4,1997,784,1344
"422","Cara",215000,1602,2,1977,529,1602
"423","Economica",113000,988,2,1954,520,988
"424","Cara",315000,2630,3,1998,696,1470
"425","Intermedia",139000,1196,1,1956,297,1196
"426","Intermedia",135000,1389,1,1946,240,707
"427","Cara",275000,1644,2,1989,569,1644
"428","Economica",109008,907,1,1957,352,907
"429","Cara",195400,1208,2,2007,628,1208
"430","Cara",175000,1412,2,1988,576,1412
"431","Economica",85400,987,1,1971,264,483
"432","Economica",79900,1198,0,1920,0,1088
"433","Economica",122500,1365,2,1971,440,765
"434","Cara",181000,1604,2,1997,470,926
"435","Economica",81000,630,0,1972,0,630
"436","Cara",212000,1661,2,1996,550,827
"437","Economica",116000,1118,2,1920,440,734
"438","Economica",119000,904,1,1926,180,904
"439","Economica",90350,694,1,1913,352,694
"440","Economica",110000,1196,2,1920,528,684
"441","Cara",555000,2402,3,2008,672,2402
"442","Economica",118000,1440,0,1955,0,1440
"443","Intermedia",162900,1573,2,1930,360,1128
"444","Cara",172500,1258,3,2006,648,1258
"445","Cara",210000,1908,2,1994,493,933
"446","Economica",127500,1689,2,1956,480,1689
"447","Cara",190000,1888,2,1966,578,1888
"448","Cara",199900,1886,2,1998,431,956
"449","Economica",119500,1376,1,1937,198,780
"450","Economica",120000,1183,1,1948,308,679
"451","Economica",110000,813,1,1930,270,813
"452","Cara",280000,1533,2,1975,576,1533
"453","Cara",204000,1756,2,1996,422,888
"454","Cara",210000,1590,2,2008,676,786
"455","Cara",188000,1728,2,1976,560,1728
"456","Cara",175500,1242,2,1973,528,1242
"457","Economica",98000,1344,3,1916,513,624
"458","Cara",256000,1663,2,1954,529,1663
"459","Intermedia",161000,1666,1,1925,228,833
"460","Economica",110000,1203,1,1950,352,979
"461","Cara",263435,1935,2,2009,552,832
"462","Intermedia",155000,1135,2,1936,576,575
"463","Economica",62383,864,1,1965,360,864
"464","Cara",188700,1660,1,1934,240,849
"465","Economica",124000,1040,0,1978,0,1040
"466","Cara",178740,1414,2,2004,398,1414
"467","Cara",167000,1277,2,1970,526,1277
"468","Intermedia",146500,1644,1,1942,312,888
"469","Cara",250000,1634,3,2006,866,1634
"470","Cara",187000,1710,2,1993,506,832
"471","Cara",212000,1502,2,1985,528,1502
"472","Cara",190000,1969,2,1977,534,1161
"473","Intermedia",148000,1072,2,2005,525,1072
"474","Cara",440000,1976,3,2006,908,1976
"475","Cara",251000,1652,2,2000,499,1652
"476","Intermedia",132500,970,2,1963,624,970
"477","Cara",208900,1493,2,1997,508,1493
"478","Cara",380000,2643,3,2006,694,2069
"479","Cara",297000,1718,3,2007,826,1718
"480","Economica",89471,1131,2,1937,672,1131
"481","Cara",326000,1850,3,2004,772,1850
"482","Cara",374000,1792,3,2003,874,1792
"483","Intermedia",155000,1826,1,1915,164,916
"484","Cara",164000,1216,2,1998,402,1216
"485","Intermedia",132500,999,1,1962,264,999
"486","Intermedia",147000,1113,1,1950,264,1113
"487","Intermedia",156000,1073,2,1965,515,1073
"488","Cara",175000,1484,2,1971,487,1484
"489","Intermedia",160000,2414,2,1900,520,1766
"490","Economica",86000,630,1,1970,286,630
"491","Economica",115000,1304,1,1976,336,616
