"","db.Estado","db.SalePrice","db.GrLivArea","db.GarageCars","db.YearBuilt","db.GarageArea","db.X1stFlrSF"
"492","Intermedia",133000,1578,1,1941,240,958
"493","Cara",172785,1456,2,2006,429,728
"494","Intermedia",155000,1269,1,1960,308,1269
"495","Economica",91300,886,1,1938,273,886
"496","Economica",34900,720,0,1920,0,720
"497","Cara",430000,3228,2,1992,546,3228
"498","Cara",184000,1820,1,1925,240,1133
"499","Intermedia",130000,899,1,1967,288,899
"500","Economica",120000,912,1,1958,297,912
"501","Economica",113000,1218,1,1973,264,672
"502","Cara",226700,1768,2,2005,603,866
"503","Intermedia",140000,1214,2,1965,461,1214
"504","Cara",289000,1801,2,1959,484,1801
"505","Intermedia",147000,1322,2,1974,440,855
"506","Economica",124500,1960,2,1952,400,960
"507","Cara",215000,1911,2,1993,471,1065
"508","Cara",208300,1218,2,2009,676,1218
"509","Intermedia",161000,1378,2,1928,360,689
"510","Economica",124500,1041,1,1959,270,1041
"511","Cara",164900,1363,1,1951,288,1363
"512","Cara",202665,1368,2,2005,474,1368
"513","Economica",129900,864,2,1958,624,864
"514","Intermedia",134000,1080,2,1983,484,1080
"515","Economica",96500,789,1,1926,200,789
"516","Cara",402861,2020,3,2009,900,2020
"517","Intermedia",158000,2119,2,1972,583,1378
"518","Cara",265000,2344,3,1996,889,1277
"519","Cara",211000,1796,2,1998,546,882
"520","Cara",234000,2080,1,1926,282,1276
"521","Economica",106250,1294,0,1900,0,694
"522","Intermedia",150000,1244,1,1957,336,1244
"523","Intermedia",159000,1664,2,1947,420,1004
"524","Cara",184750,4676,3,2007,884,3138
"525","Cara",315750,2398,3,1996,834,1383
"526","Cara",176000,1266,2,2005,453,1266
"527","Intermedia",132000,928,1,1956,252,928
"528","Cara",446261,2713,3,2008,858,1476
"529","Economica",86000,605,0,1920,0,605
"530","Cara",200624,2515,2,1957,484,2515
"531","Cara",175000,1509,2,1988,600,1509
"532","Economica",128000,1362,2,1920,502,751
"533","Economica",107500,827,1,1955,392,827
"534","Economica",39300,334,0,1946,0,334
"535","Cara",178000,1414,2,2004,403,707
"536","Economica",107500,1347,0,1910,0,820
"537","Cara",188000,1724,2,1998,527,880
"538","Economica",111250,864,2,1972,576,864
"539","Intermedia",158000,1159,1,1968,336,1159
"540","Cara",272000,1601,2,2001,670,1601
"541","Cara",315000,1838,3,2006,765,1838
"542","Cara",248000,2285,3,2000,648,997
"543","Cara",213250,1680,2,1998,583,1680
"544","Intermedia",133000,767,1,1998,367,767
"545","Cara",179665,1496,2,2006,426,664
"546","Cara",229000,2183,3,1988,786,1377
"547","Cara",210000,1635,2,1923,440,915
"548","Economica",129500,768,2,1970,624,768
"549","Economica",125000,825,2,1955,720,825
"550","Cara",263000,2094,2,2003,615,912
"551","Intermedia",140000,1069,2,1977,440,1069
"552","Economica",112500,928,1,1957,288,928
"553","Cara",255500,1717,3,2006,908,1717
"554","Economica",108000,1126,2,1949,520,1126
"555","Cara",284000,2046,3,2003,871,1006
"556","Economica",113000,1048,1,1922,280,1048
"557","Intermedia",141000,1092,1,1957,299,1092
"558","Economica",108000,1336,1,1920,570,897
"559","Cara",175000,1446,2,1996,406,729
"560","Cara",234000,1557,2,2003,420,1557
"561","Economica",121500,1392,2,1957,528,1392
"562","Cara",170000,1389,2,1974,418,1389
"563","Economica",108000,996,0,1940,0,996
"564","Cara",185000,1674,2,1918,396,1163
"565","Cara",268000,2295,2,1992,590,1166
"566","Economica",128000,1647,1,1915,216,841
"567","Cara",325000,2504,3,2005,656,1134
"568","Cara",214000,1535,2,2004,532,1535
"569","Cara",316600,2132,2,1983,612,1496
"570","Intermedia",135960,943,2,1979,600,943
"571","Intermedia",142600,1728,2,1965,576,1728
"572","Economica",120000,864,1,1959,288,864
"573","Cara",224500,1692,2,2009,650,846
"574","Cara",170000,1430,2,2000,400,774
"575","Intermedia",139000,1109,1,1971,288,576
"576","Economica",118500,1216,1,1947,336,832
"577","Intermedia",145000,1477,1,1928,216,877
"578","Cara",164500,1320,2,1966,564,1320
"579","Intermedia",146000,1392,2,2007,540,703
"580","Intermedia",131500,1795,1,1954,352,1050
"581","Cara",181900,1429,2,1960,572,1429
"582","Cara",253293,2042,3,2008,1390,2042
"583","Economica",118500,816,0,1990,0,816
"584","Cara",325000,2775,2,1893,880,1521
"585","Intermedia",133000,1573,1,1935,240,989
"586","Cara",369900,2028,3,2005,880,2028
"587","Intermedia",130000,838,1,1918,275,838
"588","Intermedia",137000,860,2,1982,528,860
"589","Intermedia",143000,1473,1,1968,452,1473
"590","Economica",79500,935,1,1930,308,779
"591","Cara",185900,1582,2,2004,520,770
"592","Cara",451950,2296,3,2008,842,1728
"593","Intermedia",138000,816,2,1982,816,816
"594","Intermedia",140000,848,2,2003,420,848
"595","Economica",110000,924,1,1975,280,924
"596","Cara",319000,1826,3,2005,758,1826
"597","Economica",114504,1368,1,1910,216,684
"598","Cara",194201,1402,3,2006,648,1402
"599","Cara",217500,1647,2,1977,621,1647
"600","Intermedia",151000,1556,2,1980,452,716
"601","Cara",275000,1904,2,2005,736,1058
"602","Intermedia",141000,1375,1,1937,544,780
"603","Cara",220000,1915,2,1992,506,927
"604","Intermedia",151000,1200,2,2004,480,600
"605","Cara",221000,1494,2,2002,530,1494
"606","Cara",205000,1986,2,1965,486,1186
"607","Intermedia",152000,1040,2,1996,576,1040
"608","Cara",225000,2008,1,1948,230,1112
"609","Cara",359100,3194,2,1934,380,1940
"610","Economica",118500,1029,1,1961,261,1029
"611","Cara",313000,2153,3,2000,736,1476
"612","Intermedia",148000,1032,2,1978,564,1032
"613","Cara",261500,1872,2,2001,531,1299
"614","Intermedia",147000,1120,0,2007,0,1120
"615","Economica",75500,630,0,1972,0,630
"616","Intermedia",137500,1054,2,1963,480,1054
"617","Cara",183200,1509,2,2002,393,807
"618","Economica",105500,832,2,1954,528,832
"619","Cara",314813,1828,3,2007,774,1828
"620","Cara",305000,2262,3,2003,749,1482
"621","Economica",67000,864,0,1914,0,864
"622","Cara",240000,2614,2,1974,624,1548
"623","Intermedia",135000,980,2,1977,484,980
"624","Cara",168500,1512,2,2000,440,756
"625","Cara",165150,1790,2,1972,484,1012
"626","Intermedia",160000,1116,2,1962,440,1116
"627","Intermedia",139900,1422,1,1960,286,1422
"628","Intermedia",153000,1520,1,1955,364,1520
"629","Intermedia",135000,2080,2,1969,504,1040
"630","Cara",168500,1350,2,1964,520,1350
"631","Economica",124000,1750,1,1880,240,1089
"632","Cara",209500,1554,2,2006,627,1554
"633","Economica",82500,1411,2,1977,544,1411
"634","Intermedia",139400,1056,1,1954,260,1056
"635","Intermedia",144000,1056,2,1980,576,1056
"636","Cara",2e+05,3395,0,1914,0,1440
"637","Economica",60000,800,0,1936,0,800
"638","Economica",93000,1387,1,1954,256,811
"639","Economica",85000,796,0,1910,0,796
"640","Cara",264561,1567,3,2006,648,1567
"641","Cara",274000,1518,2,2003,588,1518
"642","Cara",226000,1929,2,2001,650,1057
"643","Cara",345000,2704,2,1972,538,2000
"644","Intermedia",152000,1620,2,1969,462,780
"645","Cara",370878,1766,3,2009,478,1766
"646","Intermedia",143250,981,2,1971,576,981
"647","Economica",98300,1048,2,1950,420,1048
"648","Intermedia",155000,1094,2,1953,495,1094
"649","Intermedia",155000,1839,2,1966,442,1051
"650","Economica",84500,630,0,1970,0,630
"651","Cara",205950,1665,2,2007,562,822
"652","Economica",108000,1510,1,1940,296,755
"653","Cara",191000,1716,2,1996,512,909
"654","Intermedia",135000,1469,1,1906,216,756
"655","Cara",350000,2113,3,1995,839,2113
"656","Economica",88000,1092,1,1971,264,525
"657","Intermedia",145500,1053,1,1959,312,1053
"658","Intermedia",149000,1502,1,1931,270,851
"659","Economica",97500,1458,1,1948,330,912
"660","Cara",167000,1486,2,1964,480,1486
"661","Cara",197900,1935,2,1976,550,1142
"662","Cara",402000,2448,3,1994,711,1686
"663","Economica",110000,1392,2,1968,576,1392
"664","Intermedia",137500,1181,2,1972,588,1181
"665","Cara",423000,2097,3,2005,1134,2097
"666","Cara",230500,1936,2,2000,504,1454
"667","Economica",129000,2380,2,1965,596,1465
"668","Cara",193500,1679,2,1994,575,1679
"669","Cara",168000,1437,2,1956,576,1437
"670","Intermedia",137500,1180,1,1922,252,1180
"671","Cara",173500,1476,2,2005,540,738
"672","Economica",103600,1369,1,1925,300,697
"673","Cara",165000,1208,2,1977,546,1208
"674","Cara",257500,1839,2,1957,416,1839
"675","Intermedia",140000,1136,1,1965,384,1136
"676","Intermedia",148500,1441,2,1978,440,855
"677","Economica",87000,1774,3,1900,779,1095
"678","Economica",109500,792,1,1924,240,792
"679","Cara",372500,2046,3,2008,834,2046
"680","Economica",128500,988,2,1961,572,988
"681","Intermedia",143000,923,1,1980,264,923
"682","Intermedia",159434,1520,1,1932,281,848
"683","Cara",173000,1291,2,1996,431,1291
"684","Cara",285000,1668,3,2002,702,1668
"685","Cara",221000,1839,2,1998,486,1195
"686","Cara",207500,2090,2,1984,577,1190
"687","Cara",227875,1761,2,2007,578,874
"688","Intermedia",148800,1102,2,2004,480,551
"689","Cara",392000,1419,2,2007,567,1419
"690","Cara",194700,1362,2,2005,460,1362
"691","Intermedia",141000,848,2,2004,420,848
"692","Cara",755000,4316,3,1994,832,2444
"693","Cara",335000,2519,2,1989,628,1238
"694","Economica",108480,1073,1,1921,326,1073
"695","Intermedia",141500,1539,2,1936,576,1067
"696","Cara",176000,1137,2,1987,551,1137
"697","Economica",89000,616,1,1921,205,616
"698","Economica",123500,1148,1,1952,308,1148
"699","Intermedia",138500,894,1,1965,336,894
"700","Cara",196000,1391,2,2004,530,1391
"701","Cara",312500,1800,3,2002,765,1800
"702","Intermedia",140000,1164,2,1969,528,1164
"703","Cara",361919,2576,3,2006,666,1264
"704","Intermedia",140000,1812,2,1900,672,1032
"705","Cara",213000,1484,2,2004,606,1484
"706","Economica",55000,1092,0,1930,0,372
"707","Cara",302000,1824,2,1971,739,1824
"708","Cara",254000,1324,2,2006,550,1324
"709","Cara",179540,1456,2,2007,400,728
"710","Economica",109900,904,1,1966,408,904
"711","Economica",52000,729,0,1935,0,729
"712","Economica",102776,1178,1,1900,384,859
"713","Cara",189000,1228,2,1988,472,1228
"714","Economica",129000,960,2,1970,576,960
"715","Intermedia",130500,1479,2,1976,475,725
"716","Cara",165000,1350,2,1974,478,1350
"717","Intermedia",159500,2554,2,1890,704,1576
"718","Intermedia",157000,1178,2,1973,439,1178
"719","Cara",341000,2418,3,1993,983,1325
"720","Economica",128500,971,1,1969,300,971
"721","Cara",275000,1742,2,1985,564,1742
"722","Intermedia",143000,848,2,2004,420,848
"723","Economica",124500,864,2,1970,463,864
"724","Intermedia",135000,1470,1,1954,548,997
"725","Cara",320000,1698,3,2007,768,1698
"726","Economica",120500,864,2,1970,660,864
"727","Cara",222000,1680,2,1988,540,1680
"728","Cara",194500,1232,2,2007,632,1232
"729","Economica",110000,1776,3,1958,888,1776
"730","Economica",103000,1208,2,1925,539,848
"731","Cara",236500,1616,2,1995,608,1616
"732","Cara",187500,1146,2,2003,438,1146
"733","Cara",222500,2031,2,1998,541,1153
"734","Intermedia",131400,1144,1,1961,264,1144
"735","Economica",108000,948,1,1968,300,948
"736","Intermedia",163000,1768,2,1914,320,880
"737","Economica",93500,1040,2,1950,400,1040
"738","Cara",239900,1801,3,2005,800,901
"739","Cara",179000,1200,0,1987,0,1200
"740","Cara",190000,1728,2,2004,572,864
"741","Intermedia",132000,1432,2,1910,360,768
"742","Intermedia",142000,912,1,1961,288,912
"743","Cara",179000,1349,2,2000,539,1349
"744","Cara",175000,1464,2,1963,480,1464
"745","Cara",180000,1337,2,1993,462,1337
"746","Cara",299800,2715,2,1976,831,1175
"747","Cara",236000,2256,2,2000,554,980
"748","Cara",265979,2640,4,1880,864,1320
"749","Cara",260400,1720,2,1996,527,1720
"750","Economica",98000,1529,1,1945,240,1088
"751","Economica",96500,1140,0,1910,0,792
"752","Intermedia",162000,1320,2,2003,400,660
"753","Cara",217000,1494,2,1997,576,1494
"754","Cara",275500,2098,3,2005,878,1038
"755","Intermedia",156000,1026,2,1969,440,1026
"756","Cara",172500,1471,2,1999,440,742
"757","Cara",212000,1768,2,2007,578,866
"758","Intermedia",158900,1386,2,1978,440,672
"759","Cara",179400,1501,2,1999,440,757
"760","Cara",290000,2531,3,1995,752,1328
"761","Economica",127500,864,1,1959,300,864
"762","Economica",1e+05,1301,2,1924,440,1301
"763","Cara",215200,1547,2,2009,614,764
"764","Cara",337000,2365,3,1999,856,1268
"765","Cara",270000,1494,2,1995,481,1494
"766","Cara",264132,1506,2,2008,592,1506
"767","Cara",196500,1714,2,1988,496,980
"768","Intermedia",160000,1750,1,1940,423,983
"769","Cara",216837,1836,2,2004,484,1836
"770","Cara",538000,3279,3,2003,841,1690
"771","Intermedia",134900,858,2,1982,576,858
"772","Economica",102000,1220,2,1951,396,1220
"773","Economica",107000,1117,2,1976,672,1117
"774","Economica",114500,912,1,1958,275,912
"775","Cara",395000,1973,3,2006,895,1973
"776","Intermedia",162000,1204,2,1998,412,1204
"777","Cara",221500,1614,3,2005,865,1614
"778","Intermedia",142500,894,2,1974,440,894
"779","Intermedia",144000,2020,2,1977,630,2020
"780","Intermedia",135000,1004,2,1977,504,1004
"781","Cara",176000,1253,2,1995,402,1253
"782","Cara",175900,1603,2,1992,484,810
"783","Cara",187100,1430,2,2001,605,1430
"784","Cara",165500,1110,2,1978,602,1110
"785","Economica",128000,1484,0,1914,0,742
"786","Intermedia",161500,1342,2,1967,457,1342
"787","Intermedia",139000,1652,1,1915,416,966
"788","Cara",233000,2084,2,2004,618,956
"789","Economica",107900,901,1,1954,281,901
"790","Cara",187500,2087,2,1966,444,976
"791","Intermedia",160200,1145,2,2005,397,1145
"792","Intermedia",146800,1062,2,1976,539,1062
"793","Cara",269790,2013,2,1996,455,1127
"794","Cara",225000,1496,2,2007,474,1496
"795","Cara",194500,1895,2,1994,409,1086
"796","Cara",171000,1564,2,1980,476,888
"797","Intermedia",143500,1285,2,1977,528,1285
"798","Economica",110000,773,1,1953,240,773
"799","Cara",485000,3140,3,2008,820,1966
"800","Cara",175000,1768,1,1937,240,981
"801","Cara",2e+05,1688,2,1997,603,616
"802","Economica",109900,1196,2,1916,440,1196
"803","Cara",189000,1456,2,2005,410,728
"804","Cara",582933,2822,3,2008,1020,1734
"805","Economica",118000,1128,1,1954,286,1128
"806","Cara",227680,1428,2,2008,554,1428
"807","Intermedia",135500,980,1,1967,384,980
"808","Cara",223500,1576,2,1923,528,1072
"809","Intermedia",159950,1086,2,1966,484,1086
"810","Economica",106000,2138,2,1898,360,1075
"811","Cara",181000,1309,2,1974,484,1309
"812","Intermedia",144500,848,2,2004,420,848
"813","Economica",55993,1044,2,1952,504,1044
"814","Intermedia",157900,1442,1,1958,301,1442
"815","Economica",116000,1250,1,1918,280,686
"816","Cara",224900,1661,2,1998,598,1661
"817","Intermedia",137000,1008,1,1954,275,1008
"818","Cara",271000,1689,3,2002,857,1689
"819","Intermedia",155000,1052,2,1971,440,1052
"820","Cara",224000,1358,2,2009,484,1358
"821","Cara",183000,1640,2,2003,595,798
"822","Economica",93000,936,2,1953,576,936
"823","Cara",225000,1733,2,2003,433,847
"824","Intermedia",139500,1489,1,1940,240,944
"825","Cara",232600,1489,2,2006,776,1489
"826","Cara",385000,2084,3,2007,1220,2084
"827","Economica",109500,784,0,1924,0,784
"828","Cara",189000,1434,2,2001,527,1434
"829","Cara",185000,2126,2,1967,538,1160
"830","Intermedia",147400,1223,2,2005,480,520
"831","Cara",166000,1392,2,1957,458,1392
"832","Intermedia",151000,1200,2,2005,480,520
"833","Cara",237000,1829,2,2003,613,941
"834","Cara",167000,1516,2,1964,472,1516
"835","Intermedia",139950,1144,2,1961,456,1144
"836","Economica",128000,1067,2,1950,436,1067
"837","Intermedia",153500,1559,2,1948,812,1559
"838","Economica",1e+05,987,1,1973,264,483
"839","Intermedia",144000,1099,1,1995,352,1099
"840","Intermedia",130500,1200,1,1946,240,768
"841","Intermedia",140000,1482,1,1925,400,810
"842","Intermedia",157500,1539,2,1904,686,958
"843","Cara",174900,1165,2,1966,490,1165
"844","Intermedia",141000,1800,0,1961,0,1800
"845","Intermedia",153900,1416,3,1915,720,876
"846","Cara",171000,1701,2,1975,611,1701
"847","Cara",213000,1775,2,1993,425,1006
"848","Intermedia",133500,864,1,1972,338,864
"849","Cara",240000,2358,2,1908,360,1307
"850","Cara",187000,1855,2,1976,512,1094
"851","Intermedia",131500,848,2,2003,420,848
"852","Cara",215000,1456,2,2003,400,1456
"853","Cara",164000,1646,1,1941,240,918
"854","Intermedia",158000,1445,2,1964,645,1445
"855","Cara",170000,1779,2,1955,454,1779
"856","Economica",127000,1040,1,1962,260,1040
"857","Intermedia",147000,1026,2,1978,576,1026
"858","Cara",174000,1481,2,1994,343,702
"859","Intermedia",152000,1370,2,1976,479,1370
"860","Cara",250000,2654,2,1968,619,1512
"861","Cara",189950,1426,1,1918,216,912
"862","Intermedia",131500,1039,2,1965,504,1039
"863","Intermedia",152000,1097,2,1984,480,1097
"864","Intermedia",132500,1148,1,1959,672,1148
"865","Cara",250580,1372,2,2007,529,1372
"866","Intermedia",148500,1002,2,1970,902,1002
"867","Cara",248900,1646,3,2006,870,1646
"868","Economica",129000,1120,2,1961,544,1120
"869","Cara",169000,2320,2,1948,672,1547
"870","Cara",236000,1949,2,1993,574,1062
"871","Economica",109500,894,1,1962,308,894
"872","Cara",200500,1682,2,1998,523,804
"873","Economica",116000,910,2,1953,414,910
"874","Intermedia",133000,1268,1,1949,288,1036
"875","Economica",66500,1131,1,1941,200,676
"876","Cara",303477,2610,2,2007,550,1184
"877","Intermedia",132250,1040,2,1963,648,1040
"878","Cara",350000,2224,3,2004,738,1462
"879","Intermedia",148000,1155,2,1961,576,1155
"880","Intermedia",136500,864,1,1978,336,864
"881","Intermedia",157000,1090,2,2005,450,1090
"882","Cara",187500,1717,2,1990,400,1187
"883","Cara",178000,1593,2,1992,389,808
"884","Economica",118500,2230,1,1912,440,954
"885","Economica",1e+05,892,1,1967,288,892
"886","Cara",328900,1709,2,1999,506,1709
"887","Intermedia",145000,1712,2,1959,588,1712
"888","Intermedia",135500,1393,1,1955,300,872
"889","Cara",268000,2217,2,1970,621,2217
"890","Intermedia",149500,1505,2,1953,505,1505
"891","Economica",122900,924,2,1949,576,672
"892","Cara",172500,1683,2,1978,440,918
"893","Intermedia",154500,1068,1,1963,264,1068
"894","Cara",165000,1383,1,1954,354,1383
"895","Economica",118858,1535,2,1979,400,1535
"896","Intermedia",140000,1796,2,1963,483,983
"897","Economica",106500,951,1,1936,327,951
"898","Intermedia",142953,2240,2,1979,528,1120
"899","Cara",611657,2364,3,2009,820,2364
"900","Intermedia",135000,1236,1,1961,288,1236
"901","Economica",110000,858,1,1971,684,858
"902","Intermedia",153000,1306,1,1957,756,1306
"903","Cara",180000,1509,2,2003,393,807
"904","Cara",240000,1670,3,2006,690,1670
"905","Economica",125500,902,1,1967,288,902
"906","Economica",128000,1063,1,1954,280,1063
"907","Cara",255000,1636,3,2006,865,1636
"908","Cara",250000,2057,1,1936,180,1020
"909","Intermedia",131000,902,2,1983,484,902
"910","Cara",174000,1484,2,2005,390,742
"911","Intermedia",154300,2274,2,1960,480,1105
"912","Intermedia",143500,1268,1,1977,252,1268
"913","Economica",88000,1015,1,1925,450,1015
"914","Intermedia",145000,2002,3,1949,871,1001
"915","Cara",173733,1224,2,2009,528,612
"916","Economica",75000,1092,1,1970,286,546
"917","Economica",35311,480,1,1949,308,480
"918","Intermedia",135000,1229,1,1956,284,1229
"919","Cara",238000,2127,3,1991,833,912
"920","Cara",176500,1414,2,1958,601,1414
"921","Cara",201000,1721,2,1994,471,936
"922","Intermedia",145900,2200,0,1900,0,1272
"923","Cara",169990,1316,2,2005,397,1316
"924","Cara",193000,1617,2,1993,533,1617
"925","Cara",207500,1686,2,1980,612,1686
"926","Cara",175000,1126,2,1977,540,1126
"927","Cara",285000,2374,3,2003,656,1234
"928","Cara",176000,1978,2,1968,486,1098
"929","Cara",236500,1788,2,2001,522,1788
"930","Cara",222000,2236,2,1997,642,993
"931","Cara",201000,1466,3,2007,610,1466
"932","Economica",117500,925,1,1965,429,925
"933","Cara",320000,1905,3,2006,788,1905
"934","Cara",190000,1500,2,2004,570,1500
"935","Cara",242000,2069,2,1960,505,2069
"936","Economica",79900,747,2,1926,528,747
"937","Cara",184900,1200,2,2003,555,1200
"938","Cara",253000,1971,2,2005,689,1113
"939","Cara",239799,1962,3,2006,868,1391
"940","Cara",244400,2403,1,1940,349,1207
"941","Intermedia",150900,1728,2,1976,574,1728
"942","Cara",214000,2060,2,1999,390,1022
"943","Intermedia",150000,1440,0,1977,0,1440
"944","Intermedia",143000,1632,2,1967,576,1632
"945","Intermedia",137500,1344,2,1958,525,1344
"946","Economica",124900,1869,2,1890,456,1188
"947","Intermedia",143000,1144,1,1959,796,1144
"948","Cara",270000,1629,3,2002,808,1629
"949","Cara",192500,1776,2,2002,474,936
"950","Cara",197500,1381,2,1972,676,1381
"951","Economica",129000,864,2,1950,720,864
"952","Economica",119900,965,1,1965,300,965
"953","Intermedia",133900,768,1,1972,396,768
"954","Cara",172000,1968,2,1969,530,1168
"955","Economica",127500,980,0,1975,0,980
"956","Intermedia",145000,1958,2,1946,492,979
"957","Economica",124000,1229,2,1980,462,561
"958","Intermedia",132000,1057,2,1962,576,1057
"959","Cara",185000,1337,2,2003,531,1337
"960","Intermedia",155000,1416,2,1999,484,696
"961","Economica",116500,858,0,1958,0,858
"962","Cara",272000,2872,2,1977,619,1542
"963","Intermedia",155000,1548,2,1976,440,804
"964","Cara",239000,1800,2,2007,702,1800
"965","Cara",214900,1894,2,2002,510,824
"966","Cara",178900,1484,2,2005,393,783
"967","Intermedia",160000,1308,1,1940,256,976
"968","Intermedia",135000,1098,1,1955,260,1098
"969","Economica",37900,968,0,1910,0,600
"970","Intermedia",140000,1095,1,1958,264,1095
"971","Intermedia",135000,1192,0,1949,0,720
"972","Cara",173000,1626,2,2003,474,764
"973","Economica",99500,918,1,1979,264,918
"974","Cara",182000,1428,2,2007,480,1428
"975","Cara",167500,2019,2,1910,532,1136
"976","Cara",165000,1382,2,2000,490,673
"977","Economica",85500,869,0,1923,0,869
"978","Cara",199900,1241,2,2006,569,1241
"979","Economica",110000,894,2,1954,400,894
"980","Intermedia",139000,1121,2,1963,480,1121
